"Species";"Latitude";"Longitude";"Source"
"Dictyota dichotoma";59,35955;-2,86286;"Marinespeed"
"Dictyota dichotoma";49,90282;-6,30473;"Marinespeed"
"Dictyota dichotoma";49,97353;-6,2664;"Marinespeed"
"Dictyota dichotoma";50,06562;-5,06121;"Marinespeed"
"Dictyota dichotoma";51,10484;1,28802;"Marinespeed"
"Dictyota dichotoma";50,62105;-2,27498;"Marinespeed"
"Dictyota dichotoma";50,59977;-1,94701;"Marinespeed"
"Dictyota dichotoma";50,58268;-2,06851;"Marinespeed"
"Dictyota dichotoma";51,70119;-5,09224;"Marinespeed"
"Dictyota dichotoma";50,28684;-3,93667;"Marinespeed"
"Dictyota dichotoma";50,23666;-3,87012;"Marinespeed"
"Dictyota dichotoma";51,72985;-5,29556;"Marinespeed"
"Dictyota dichotoma";49,26147;-2,15062;"Marinespeed"
"Dictyota dichotoma";57,71805;-3,23478;"Marinespeed"
"Dictyota dichotoma";51,79151;-9,89576;"Marinespeed"
"Dictyota dichotoma";53,62848;-9,8722;"Marinespeed"
"Dictyota dichotoma";54,1825;7,88528;"Marinespeed"
"Dictyota dichotoma";51,4875;4,06667;"Marinespeed"
"Dictyota dichotoma";51,75532;-5,18725;"Marinespeed"
"Dictyota dichotoma";53,25453;-4,02385;"Marinespeed"
"Dictyota dichotoma";53,42314;-4,36527;"Marinespeed"
"Dictyota dichotoma";52,00733;-4,93987;"Marinespeed"
"Dictyota dichotoma";52,02691;-4,89377;"Marinespeed"
"Dictyota dichotoma";51,45406;-3,66178;"Marinespeed"
"Dictyota dichotoma";51,37492;-3,42253;"Marinespeed"
"Dictyota dichotoma";51,96358;-5,13649;"Marinespeed"
"Dictyota dichotoma";47,76719;-4,15195;"Marinespeed"
"Dictyota dichotoma";55,37281;-7,33667;"Marinespeed"
"Dictyota dichotoma";55,20465;-6,65928;"Marinespeed"
"Dictyota dichotoma";53,55253;-10,22514;"Marinespeed"
"Dictyota dichotoma";57,70342;-7,68184;"Marinespeed"
"Dictyota dichotoma";58,07166;-5,45178;"Marinespeed"
"Dictyota dichotoma";55,88577;-2,11432;"Marinespeed"
"Dictyota dichotoma";57,79529;-8,55477;"Marinespeed"
"Dictyota dichotoma";59,52526;-1,60491;"Marinespeed"
"Dictyota dichotoma";58,20452;-6,88726;"Marinespeed"
"Dictyota dichotoma";50,79944;-0,05641;"Marinespeed"
"Dictyota dichotoma";50,73212;0,41702;"Marinespeed"
"Dictyota dichotoma";53,42327;-4,44807;"Marinespeed"
"Dictyota dichotoma";52,16966;-4,44885;"Marinespeed"
"Dictyota dichotoma";51,7368;-5,23956;"Marinespeed"
"Dictyota dichotoma";53,59973;-10,24877;"Marinespeed"
"Dictyota dichotoma";50,45652;-3,46736;"Marinespeed"
"Dictyota dichotoma";50,30256;-4,11849;"Marinespeed"
"Dictyota dichotoma";50,32297;-4,18262;"Marinespeed"
"Dictyota dichotoma";54,09857;-0,10123;"Marinespeed"
"Dictyota dichotoma";55,78428;-1,98804;"Marinespeed"
"Dictyota dichotoma";52,93819;1,28399;"Marinespeed"
"Dictyota dichotoma";52,95025;1,13748;"Marinespeed"
"Dictyota dichotoma";52,94737;1,21172;"Marinespeed"
"Dictyota dichotoma";55,50962;-5,06391;"Marinespeed"
"Dictyota dichotoma";58,57649;-4,58937;"Marinespeed"
"Dictyota dichotoma";58,23792;-6,7895;"Marinespeed"
"Dictyota dichotoma";57,2329;-7,30532;"Marinespeed"
"Dictyota dichotoma";50,40234;-3,48398;"Marinespeed"
"Dictyota dichotoma";50,46793;-3,49026;"Marinespeed"
"Dictyota dichotoma";50,3238;-3,57426;"Marinespeed"
"Dictyota dichotoma";52,82955;-4,45909;"Marinespeed"
"Dictyota dichotoma";52,24626;-4,26113;"Marinespeed"
"Dictyota dichotoma";52,13528;-4,54343;"Marinespeed"
"Dictyota dichotoma";52,21519;-4,33276;"Marinespeed"
"Dictyota dichotoma";53,20833333;-4,291666667;"Marinespeed"
"Dictyota dichotoma";52,875;-4,708333333;"Marinespeed"
"Dictyota dichotoma";52,75489;-4,23255;"Marinespeed"
"Dictyota dichotoma";56,67845;-6,53384;"Marinespeed"
"Dictyota dichotoma";53,31968;-4,02618;"Marinespeed"
"Dictyota dichotoma";52,8861;-4,67192;"Marinespeed"
"Dictyota dichotoma";51,76824;-10,17686;"Marinespeed"
"Dictyota dichotoma";55,22231;-6,63197;"Marinespeed"
"Dictyota dichotoma";55,24157;-6,5118;"Marinespeed"
"Dictyota dichotoma";55,27918;-6,17199;"Marinespeed"
"Dictyota dichotoma";55,29201;-6,25013;"Marinespeed"
"Dictyota dichotoma";55,30581;-6,27314;"Marinespeed"
"Dictyota dichotoma";56,75446;-5,911;"Marinespeed"
