"Lon";"Lat"
-2,86286;59,35955
-6,30473;49,90282
-5,06121;50,06562
1,28802;51,10484
-2,27498;50,62105
-1,94701;50,59977
-5,09224;51,70119
-3,93667;50,28684
-5,29556;51,72985
-2,15062;49,26147
-3,23478;57,71805
-9,89576;51,79151
-9,8722;53,62848
7,88528;54,1825
4,06667;51,4875
-4,02385;53,25453
-4,36527;53,42314
-4,93987;52,00733
-3,66178;51,45406
-3,42253;51,37492
-5,13649;51,96358
-4,15195;47,76719
-7,33667;55,37281
-6,65928;55,20465
-10,22514;53,55253
-7,68184;57,70342
-5,45178;58,07166
-2,11432;55,88577
-8,55477;57,79529
-1,60491;59,52526
-6,88726;58,20452
-0,05641;50,79944
0,41702;50,73212
-4,44885;52,16966
-3,46736;50,45652
-4,11849;50,30256
-0,10123;54,09857
-1,98804;55,78428
1,28399;52,93819
1,13748;52,95025
-5,06391;55,50962
-4,58937;58,57649
-7,30532;57,2329
-3,57426;50,3238
-4,45909;52,82955
-4,26113;52,24626
-4,291666667;53,20833333
-4,708333333;52,875
-4,23255;52,75489
-6,53384;56,67845
-10,17686;51,76824
-6,17199;55,27918
-5,911;56,75446
-5,99659;56,65101
-2,64515;59,19645
-5,67443;56,19155
-4,85137;51,64613
-2,39577;59,28098
-5,36524;57,9634
15,15;37,55
-4,64;48,03
5,11;43,33
18,1;42,64
-6,208333333;36,375
3,18;42,05
-8,83;37,81
3,18;39,89
-5,125;36,45833333
1,38778;51,39347
-5,48093;56,54693
-5,62609;56,5158
-5,97771;55,95821
-7,06374;58,05546
-5,791666667;56,875
-7,13351;57,55952
-7,25057;57,13981
-5,79871;57,72729
-6,70876;57,86039
7,05341;58,05584
-4,79885;54,0621
-5,33018;51,8656
-4,20376;51,19958
-3,8701;51,23237
-4,05397;51,2113
-5,65525;55,98979
-4,66115;51,18646
-5,61944;57,14272
-2,0715;50,6924
-5,04021;50,15344
-5,70627;50,12868
-5,73112;57,28241
-4,92069;50,58025
-1,55534;60,19953
-0,83997;60,83909
-2,04411;60,13382
-6,67922;56,97985
-2,95996;59,18463
-9,43829;51,46047
-4,34135;50,20743
-3,1446;50,685
-3,27835;50,65753
-1,75266;55,68519
1,0433;51,76994
-2,84088;50,72177
-3,33454;58,96036
-5,67024;51,72665
-7,62608;56,84352
-7,29107;57,05261
-9,78976;51,65251
-6,19154;56,75972
-7,202;37,209
8,375;58,20833333
-5,08295;55,00203
-8,73;40,63
8,37;56,68
-9,88921;54,25436
-10,19604;54,12268
-9,84521;53,1391
-7,75752;55,25698
-9,7871;52,44996
-6,94519;52,10907
-10,06593;52,31605
-9,8396;53,38382
-9,05906;54,28572
-8,26079;55,25462
-10,60188;52,06149
-7,56615;52,08005
-10,31725;52,25118
-7,94038;55,21082
-8,8257;54,65988
-5,84141;54,90177
-5,71345;54,84821
-6,03127;55,10088
-5,50615;54,69944
-5,61753;54,25413
-5,97291;55,01546
-5,6245;54,45289
-4,62644;50,8144
-4,6792;50,7066
-4,14707;51,5496
-3,95102;51,63712
-3,6459;51,19212
-4,36268;54,2405
-1,458333333;50,79166667
-9,22344;51,47145
-6,31496;52,27476
-4,25978;54,86864
-5,98496;56,53312
-6,14128;54,04049
-7,7084;51,94353
-10,39958;51,84211
-10,01844;51,59486
-7,24394;55,43785
-10,35894;52,13286
-9,03533;53,15627
-4,02878;54,76934
-6,58921;52,17499
-7,72537;55,16634
-6,16376;53,61621
-10,07452;53,46627
-0,79504;50,7478
-9,10067;51,54323
-6,20727;52,20171
-5,75945;54,23181
-5,53562;54,35863
-9,51267;51,69191
-8,96248;51,52513
-8,62225;54,61846
-8,28623;54,60176
-5,54;50,12
-2,44574;50,60477
-0,07254;38,58625
-0,54051;38,32672
-0,42303;38,4143
-0,42622;38,32427
0,1766;38,85908
-6,3248;36,5053
-4,64388;50,32958
-5,12708;50,41114
-0,34624;54,24512
-1,61557;55,55274
-4,62393;52,80533
-2,66218;58,89997
-4,31829;52,86206
-3,64338;50,24999
-5,12367;58,41271
-6,50313;58,42736
-7,08057;56,40533
-4,65407;53,32265
-4,72489;52,11504
-2,54378;56,18386
-0,43256;38,1442
-0,66632;37,96887
-0,26742;39,49185
-4,45306;53,16959
-5,04109;51,61843
-4,10164;52,38994
4,85;61,57
8,25;56,6
-8,07255;51,83736
1,06946;51,07345
-5,27697;50,05253
-6,28358;56,94907
-5,48985;56,45811
-6,32116;57,06021
-6,06895;57,13882
-1,3435;60,10301
-9,45344;52,83015
-9,44982;54,31119
-5,58144;56,31837
-4,32056;50,37112
-8,74791;51,57028
-8,97128;53,25613
-9,31148;53,24592
-5,47016;54,57205
-6,20278;53,78772
-8,47786;54,97754
-9,52107;52,75589
-6,40172;52,16853
-9,9949;53,25573
-10,03553;51,71456
-9,66676;52,56051
-6,08426;55,20506
-7,15847;55,14712
-1,25353;50,75479
-4,95672;54,73182
-8,291666667;37,04166667
-4,36124;54,72421
-6,50417;57,32991
-5,88942;56,32346
-5,65241;57,87635
-7,21927;57,4453
-5,81433;57,58834
-5,47679;51,73181
-4,79329;52,76189
-1,10429;60,2682
0,97656;52,97058
-5,02456;50,52541
-4,78603;50,2129
-4,6388;36,5091
13,6281;43,5481
-0,32;39,35
1,6;50,76
-5,34259;58,24474
2,9431;39,1114
-9,99978;53,76143
-4,28488;47,75897
-1,541666667;55,45833333
-2,62103;59,31423
-6,48597;57,0715
-5,22858;50,3301
-2,18202;49,71018
-5,4431;55,69647
-1,4937;60,45344
-0,20856;50,79199
-0,62701;50,74909
-1,57618;50,66467
-6,49722;55,737
-4,40692;53,00012
0,23;38,75
8,10084;58,07885
-7,875;51,95833333
-9,54461;53,0634
-9,73032;52,65239
-7,50935;55,26452
-0,19072;38,49905
-6,25622;56,05593
-6,66861;56,53941
-6,08369;53,38128
-1,34599;59,9773
-10,25219;53,97534
-9,82095;52,56892
-9,63455;51,59634
-6,041666667;56,375
-6,60642;58,35172
-9,82724;51,55425
-6,66012;57,35301
-6,375;57,20833333
-6,32947;55,74843
-5,3497;56,01826
-5,62575;57,77911
6,82891;58,10884
-4,35875;52,70389
1,01576;51,35597
-3,17909;54,07002
-8,61;37,09
-8,875;38,54166667
-6,59;43,55
-6,96;43,56
1,56;38,98
-0,68;37,61
-3,73;36,73
14,19;40,79
-1,19188;50,65702
-3,125;59,04166667
-5,125;55,625
-0,54355;38,23668
0,35257;40,30454
-5,59926;56,98595
-5,65434;57,362
-6,13984;56,43856
-1,67295;60,34535
-1,51783;60,54243
-5,81293;57,01378
-7,50586;56,90831
-3,0333;35,9333
-2,05;36,82
1,75;41,23
-8,49;37,09
-1,93;36,91
1,55;39,16
-8,2971;55,12811
-2,72565;56,06828
-5,91989;57,27756
-3,98;48,73
8,71;40,92
-6,39054;56,51448
0,46337;40,48717
-3,87796;53,34683
-3,81112;51,57191
-6,149;57,02646
-6,97401;57,94743
-0,36923;50,78265
-4,74267;54,16051
-8,44195;54,47094
-9,20687;54,27124
-9,26417;53,16556
-6,09642;53,26982
-8,53399;51,64811
17,2;40,42
-7,04715;57,72138
-4,57013;54,73614
-3,36413;59,09299
-2,43621;49,49798
-0,98545;50,75996
-5,78279;57,13879
-0,86691;60,33643
-10,18604;51,61027
-6,80336;56,48478
-1,00824;60,18624
-4,45066;50,34371
-8,45139;54,84559
-7,61028;54,98189
-9,4603;52,93012
-9,66543;51,73613
-5,12756;54,85162
-5,29028;55,84812
-5,58444;56,12585
-7,23848;57,32301
5,61998;59,31837
-2,9633;58,92952
0,81663;51,73871
3,125;42,29166667
1,44;38,88
0,2;49,71
-9,95326;52,41525
-10,32147;51,95197
4,97;60,38902
-8,57229;54,41558
-1,46911;60,28902
3,18;42,41
-6,4081;57,51322
-6,08211;55,63998
-6,46516;58,10038
-5,49171;50,21901
-4,54973;50,93079
0,19017;50,73031
5,55;43,21
11,3;58,21667
5,28166;43,37008
-8,75193;54,74221
-0,78279;37,88101
-0,93848;60,64235
-3,94717;51,54724
5,82086;59,45138
-4,22488;52,45828
-0,99636;60,72182
-3,08301;58,64652
-4,13941;52,60823
-5,61;35,98
-8,83;37,9
3,18;41,96
2,59;39,52
-9,06;38,44
-2,41;43,32
-6,915;57,839
-4,94826;55,75296
-7,50115;55,16667
0,12892;40,02898
-6,44541;56,82917
-3,19;43,4
-8,82;41,42
2,625;41,625
-5,07838;55,89677
-5,32477;55,76537
-4,42317;51,01534
-7,43443;57,28677
-3,0458;58,84265
-0,59855;54,49911
-6,458333333;57,625
7,79021;58,04648
10,38;57,67
-9,544;53,2337
2,9333;41,7
-9,65814;53,29392
-6,16421;58,25807
-6,39881;55,88945
-6,19322;52,56509
-3,61336;54,48793
-6,39713;55,34998
-5,78761;56,11259
-4,70361;54,66401
-0,77844;60,42546
0,72;39,86
-8,82;42,23
10,33333;43,47167
4,19067;53,61508
-4,791666667;54,875
-0,30861;38,41172
-5,51981;55,45149
-2,55471;49,41961
-8,74012;54,27423
-5,291666667;58,125
-3,14886;54,16514
8,37;56,97
-5,39;36,08
-6,11566;57,35044
0,61194;52,97646
-0,49534;54,40798
4,87593;59,2956
-1,11913;60,11922
-1,28301;60,19654
-0,291666667;39,625
-10,06815;52,46149
-8,25187;51,79516
-5,60331;57,537
-2,69381;59,09202
-2,57;43,4
0,07254;38,58625
-5,625;55,70833333
-0,66347;38,05892
-5,88117;54,67872
-5,06525;55,21063
8,47;40,29
-4,3;43,39
-8,875;41,79166667
1,21;38,97
-3,8;43,49
-6,48;36,7
-8,5167;33,2833
-4,76376;55,39765
-5,9374;55,83764
-9,40894;53,02015
-6,98202;55,15027
-9,8357;52,36276
-1,32573;54,88554
-3,10252;53,57228
-3,6017;36,7397
-1,30158;50,57431
-9,17;39,43
-10,05393;53,88695
2,71;39,79
-2,50604;56,00879
-6,2;43,57
3,03;42,87
-4,32819;58,55543
-4,00766;58,60217
11,29166667;58,54166667
-5,7079;56,68693
-4,53901;52,26309
-3,53869;58,62391
-0,54657;38,14664
-0,05798;38,94613
-2,72773;56,32533
-7,29968;57,55084
-4,41777;47,7506
-2,56638;56,29607
-1,59;37,35
-8,83;37,63
-5,81;43,63
-7,089;37,207
-6,92144;56,42976
-1,07674;50,84031
-8,27074;54,48366
-3,42162;54,30157
11,15358;58,87447
-9,6762;51,86184
-4,53478;54,09314
-1,44633;55,07219
-1,18661;60,01009
5,26306;60,53917
1,48924;52,06159
-9,4;38,71
-2,94;43,4
-1,83;43,39
8,32;40,55
-4,01;47,84
-5,07218;55,30037
7,5612;57,96251
2,82;41,69
-8,87;40,17
2,48;39,43
-6,05;36,15
2,17;41,33
-2,12333;57,70066
-1,13;37,53
-6,6551;57,52322
-1,41122;50,90489
4,93;60,57
0,60831;50,85843
8,16;40,57
-5,941;36,186
15,23;44,12
-9,74079;51,46056
-8,94;41,96
-10,20208;53,87578
6,30399;58,31498
0,12;40,12
3,18;41,87
-6,11739;57,67684
1,22159;51,95228
