"Population_id";"Strain_id";"Temperature_C";"F0";"Fm";"Corrected_Fm";"FvFm"
"Goes";"Goes_14";8;0,1191;0,3093;0,349089347;0,658826598
"Goes";"Goes_21";8;0,0755;0,1515;0,170989447;0,558452283
"Goes";"Goes_13";8;0,0784;0,1426;0,160944523;0,512875625
"Goes";"Goes_6";8;0,0618;0,0819;0,092435879;0,331428441
"Goes";"Goes_8";8;0,0559;0,0838;0,094580302;0,408967839
"Goes";"Goes_28";8;0,1162;0,2466;0,278323417;0,582500096
"Goes";"Goes_29";8;0,1417;0,3108;0,350782312;0,596045766
"Goes";"Goes_11";8;0,0779;0,1294;0,146046432;0,46660799
"Goes";"Goes_19";8;0,1064;0,2574;0,290512764;0,633751032
"Goes";"Goes_9";8;0,076;0,1603;0,180921508;0,579928329
"Goes";"Goes_22";8;0,0623;0,0941;0,10531596;0,408446733
"Goes";"Goes_2";8;0,0289;0,0623;0,069725657;0,585518424
"Goes";"Goes_31";8;0,0569;0,0569;0,06368202;0,106498195
"Goes";"Goes_5";8;0,051;0,0711;0,079574545;0,359091532
"Goes";"Goes_26";8;0,0642;0,0961;0,107554343;0,403092447
"Goes";"Goes_23";8;0,0755;0,1456;0,162954343;0,536680039
"Goes";"Goes_30";8;0,0809;0,152;0,170117172;0,524445421
"Goes";"Goes_10";8;0,0632;0,0985;0,110240404;0,426707471
"Goes";"Goes_17";8;0,05315;0,10805;0,120928687;0,560484767
"Goes";"Goes_12";8;0,0608;0,1064;0,11908202;0,48942754
"Goes";"Goes_29";14;0,0691;0,1926;0,217376683;0,68211862
"Goes";"Goes_11";14;0,123;0,3328;0,375612462;0,672534827
"Goes";"Goes_14";14;0,0814;0,2338;0,263876784;0,691522692
"Goes";"Goes_28";14;0,1044;0,3162;0,356876985;0,707462223
"Goes";"Goes_8";14;0,0833;0,2505;0,282725126;0,705367537
"Goes";"Goes_13";14;0,1;0,2882;0,325274975;0,692567803
"Goes";"Goes_6";14;0,0931;0,2716;0,306539497;0,696287099
"Goes";"Goes_9";14;0,1074;0,2936;0,331369648;0,675890654
"Goes";"Goes_19";14;0,1049;0,275;0,310376884;0,6620238
"Goes";"Goes_23";14;0,1025;0,3059;0,342360808;0,700608254
"Goes";"Goes_22";14;0,1069;0,3025;0,338555556;0,6842468
"Goes";"Goes_10";14;0,0956;0,2706;0,302853333;0,684335652
"Goes";"Goes_31";14;0,1108;0,3392;0,379629899;0,708136792
"Goes";"Goes_5";14;0,1181;0,3593;0,402125657;0,706310706
"Goes";"Goes_12";14;0,077;0,2167;0,242528889;0,682512049
"Goes";"Goes_30";14;0,1672;0,4147;0,464128889;0,63975524
"Goes";"Goes_2";14;0,0971;0,2995;0,33519798;0,71032045
"Goes";"Goes_13";18;0,0961;0,2392;0,269971457;0,644036444
"Goes";"Goes_11";18;0,0951;0,2848;0,321437588;0,704141633
"Goes";"Goes_14";18;0,102;0,2681;0,302589246;0,662909369
"Goes";"Goes_9";18;0,0784;0,2216;0,250107337;0,686534585
"Goes";"Goes_6";18;0,1059;0,2559;0,288819799;0,633335386
"Goes";"Goes_28";18;0,0882;0,2245;0,253380402;0,65190678
"Goes";"Goes_8";18;0,0873;0,2466;0,278323417;0,68633613
"Goes";"Goes_12";18;0,0819;0,226;0,252937374;0,676204434
"Goes";"Goes_10";18;0,0961;0,2534;0,283603232;0,661146316
"Goes";"Goes_5";18;0,0696;0,1637;0,183211717;0,620111633
"Goes";"Goes_22";18;0,0912;0,2515;0,281476768;0,675994574
"Goes";"Goes_26";18;0,0971;0,2515;0,281476768;0,655033697
"Goes";"Goes_23";18;0,0775;0,1926;0,215556364;0,640465265
"Goes";"Goes_17";18;0,0853;0,2417;0,270508687;0,684668167
"Goes";"Goes_31";18;0,1083;0,2853;0,319305455;0,660826339
"Goes";"Goes_2";18;0,1034;0,1995;0,223278788;0,536901821
"Goes";"Goes_14";20;0,1005;0,2681;0,302589246;0,667866584
"Goes";"Goes_29";20;0,1157;0,3015;0,34028593;0,659991819
"Goes";"Goes_19";20;0,0912;0,2672;0,301573467;0,697586128
"Goes";"Goes_13";20;0,0799;0,2034;0,22956603;0,65195199
"Goes";"Goes_9";20;0,0794;0,199;0,2246;0,646482636
"Goes";"Goes_6";20;0,0917;0,2608;0,294350151;0,688466271
"Goes";"Goes_11";20;0,1074;0,2814;0,317600201;0,661839005
"Goes";"Goes_12";20;0,0824;0,2368;0,265024646;0,689085521
"Goes";"Goes_2";20;0,1054;0,2637;0,295130909;0,642870344
"Goes";"Goes_17";20;0,0907;0,2471;0,276552323;0,672033129
"Goes";"Goes_22";20;0,0863;0,2191;0,245214949;0,648063871
"Goes";"Goes_10";20;0,1118;0,2338;0,261667071;0,572739513
"Goes";"Goes_30";20;0,1167;0,3181;0,356014949;0,672204776
"Goes";"Goes_5";20;0,1157;0,3074;0,344039596;0,6637015
"Goes";"Goes_23";20;0,0951;0,248;0,277559596;0,65737088
"Goes";"Goes_19";22;0,1279;0,3289;0,371210754;0,655451792
"Goes";"Goes_21";22;0,0853;0,2422;0,273357387;0,68795429
"Goes";"Goes_14";22;0,1157;0,2676;0,302024925;0,616919034
