"Population_id";"Strain_id";"Temperature_C";"Days_post_collection";"Germinated_apical_rhizoidal";"Germinated_no_rhizoidal";"Not_germinated";"Germination_rate_percent"
"Goes";"Goes_40";22;2;102;0;5;95,3271028
"Goes";"Goes_40";24;2;79;0;7;91,86046512
"Goes";"Goes_40";26;2;76;25;9;69,09090909
"Goes";"Goes_40";28;2;3;7;73;3,614457831
"Goes";"Goes_35";22;2;93;0;0;100
"Goes";"Goes_35";24;2;81;0;0;100
"Goes";"Goes_35";26;2;67;14;1;81,70731707
"Goes";"Goes_35";28;2;7;13;50;10
"Goes";"Goes_43";22;2;55;0;28;66,26506024
"Goes";"Goes_43";24;2;57;0;35;61,95652174
"Goes";"Goes_38";8;4;0;0;85;0
"Goes";"Goes_38";14;4;87;0;1;98,86363636
"Goes";"Goes_38";18;4;117;0;3;97,5
"Goes";"Goes_38";20;4;103;0;0;100
"Goes";"Goes_38";22;4;113;0;1;99,12280702
"Goes";"Goes_38";24;4;95;0;2;97,93814433
"Goes";"Goes_38";26;4;70;11;0;86,41975309
"Goes";"Goes_38";28;4;0;13;77;0
"Goes";"Goes_51";8;4;0;0;88;0
"Goes";"Goes_51";14;4;81;3;4;92,04545455
"Goes";"Goes_51";18;4;91;0;11;89,21568627
"Goes";"Goes_51";20;4;75;0;19;79,78723404
"Goes";"Goes_51";22;4;81;3;9;87,09677419
"Goes";"Goes_51";24;4;55;36;3;58,5106383
"Goes";"Goes_51";26;4;13;70;7;14,44444444
"Goes";"Goes_51";28;4;0;34;81;0
"Goes";"Goes_49";8;4;0;0;88;0
"Goes";"Goes_49";14;4;87;4;0;95,6043956
"Goes";"Goes_49";18;4;83;0;1;98,80952381
"Goes";"Goes_49";20;4;81;1;0;98,7804878
"Goes";"Goes_49";22;4;84;0;6;93,33333333
"Goes";"Goes_49";24;4;75;5;5;88,23529412
"Goes";"Goes_49";26;4;40;49;4;43,01075269
"Goes";"Goes_49";28;4;0;23;63;0
"Goes";"Goes_53";14;6;64;3;19;74,41860465
"Goes";"Goes_53";26;6;16;52;39;14,95327103
"Goes";"Goes_53";8;6;0;0;82;0
"Goes";"Goes_53";22;6;63;1;29;67,74193548
"Goes";"Goes_53";24;6;40;10;27;51,94805195
"Goes";"Goes_53";20;6;85;1;17;82,52427184
"Goes";"Goes_53";18;6;65;2;23;72,22222222
"Goes";"Goes_53";28;6;0;10;70;0
"Goes";"Goes_46";26;6;82;9;6;84,53608247
"Goes";"Goes_46";8;6;0;0;110;0
"Goes";"Goes_46";18;6;87;0;10;89,69072165
"Goes";"Goes_56";8;6;0;3;88;0
"Goes";"Goes_56";24;6;53;6;19;67,94871795
"Goes";"Goes_56";18;6;64;0;18;78,04878049
